번호,면적,시도명,시군구명,용도,장소명,주소,최대수용인원,경도,위도,정좌표경도,정좌표위도,구분
9620,1141000000,서울특별시,서대문구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",서대문문화체육회관,서울특별시 서대문구 백련사길 39(홍은동),195,126.93173,37.58094,193969.813,553489.6657,안전
9559,1141000000,서울특별시,서대문구,관공서,홍제1동 주민센터,서울특별시 서대문구 통일로 435(홍제동),46,126.94504,37.58777,195146.2813,554247.3697,긴급
9557,1141000000,서울특별시,서대문구,학교,인왕초등학교,서울특별시 서대문구 세무서길 33-9 (홍제동),183,126.94521,37.5905,195161.0232,554550.3871,긴급
9625,1141000000,서울특별시,서대문구,경로당,신가경로당,서울특별시 서대문구 거북골로22길 29-51 (북가좌동),31,126.90823,37.58009,191893.7477,553397.2657,긴급
9626,1141000000,서울특별시,서대문구,교회,충신교회,서울특별시 서대문구 응암로1길 16(북가좌동),192,126.90853,37.58184,191920.2858,553591.3147,안전
0,1141000000,서울특별시,서대문구,학교,명지대방목학술정보관,서울특별시 서대문구 거북골로 34(남가좌동),1550,126.92137,37.58035,193054.9414,553425.2961,안전
9555,1141000000,서울특별시,서대문구,학교,안산초등학교,서울특별시 서대문구 통일로 321(홍제동),389,126.94403,37.58507,195056.5052,553947.1661,긴급
9623,1141000000,서울특별시,서대문구,학교,가재울고등학교,서울특별시 서대문구 수색로 100-35 (북가좌동),213,126.90951,37.57431,192005.9637,552755.5871,안전
9624,1141000000,서울특별시,서대문구,경로당,은가경로당,서울특별시 서대문구 증가로20길 43(북가좌동),183,126.91571,37.58117,192554.3052,553515.9485,안전
9788,1144000000,서울특별시,마포구,관공서,성산1동주민센터,서울특별시 마포구 성산로4길 15(성산동),122,126.90789,37.56331,191861.7477,551534.41,안전
9784,1144000000,서울특별시,마포구,학교,서울중동초등학교,서울특별시 마포구 월드컵북로 152(성산동),236,126.91135,37.56664,192167.6228,551904.4409,안전
9616,1141000000,서울특별시,서대문구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",연희동 자치회관,서울특별시 서대문구 증가로 13-10 (연희동),126,126.93093,37.56923,193897.8344,552190.4877,긴급
9777,1144000000,서울특별시,마포구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",마포구육아종합지원센터,서울특별시 마포구 상암산로1길 71(상암동),38,126.88363,37.58055,189721.3769,553450.2552,안전
